ai,method,protocol,protocol_display,groundtruth_path,groundtruth_sha256,status,parse_valid,sequence_similarity,matched_sequence_similarity,library_f1,library_precision,library_recall,edit_distance,predicted_library_count,ground_truth_library_count,fail_reason
Claude,API,10x_chromium_single_cell_atac_v2,10x Chromium Single Cell ATAC v2,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/10x_chromium_single_cell_atac_v2.json,4bfb724357d02e73006b556511b1f164edeeed6dd5beef9c3b5e63eb8fe29707,ok,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
Claude,API,10x_chromium_3_gene_expression_v4,10x Chromium 3' Gene Expression v4,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/10x_chromium_3_gene_expression_v4.json,ad859a454fc9b65162fe727cf23a878b19318a24f36c1e90d8c263886e131d57,ok,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
Claude,API,10x_chromium_3_feature_barcoding,10x Chromium 3' Feature Barcoding,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/10x_chromium_3_feature_barcoding.json,1354a49531e094d18abbcd58952354e5c472872c17e04641d3869c8035c7d89d,ok,1,0.9551886792452831,0.9551886792452831,1.0,1.0,1.0,19.0,2.0,2.0,
Claude,API,drop_seq,Drop-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/drop_seq.json,8406a618523b3dc399188d4b8932b05947fb77474d615757092f0ec38369b701,ok,1,0.8967391304347826,0.8967391304347826,0.6666666666666666,0.5,1.0,19.0,2.0,1.0,
Claude,API,seq_well_s3,Seq-Well S3,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/seq_well_s3.json,95cb580f36a01f403dfba3c29b4ac59575f70cc03493399b910ff228b940277d,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 502: error code: 502
"
Claude,API,indrop_v1,inDrop v1,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/indrop_v1.json,f62db4b8e989c6b341b7ba506b6ad2af18f56b864eb5c3616cae34e74a766fa0,failed,,,,,,,,,,"api_error:OpenRouter response did not include text content (finish_reason='length', comple"
Claude,API,s3_atac,s3-ATAC,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/s3_atac.json,c7914275984fde3a9ee3dcacff9d8fccc304ae797fe6c0c2610ffea6c745a8b8,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,cel_seq,CEL-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/cel_seq.json,845112da592d8a08df43f61a3cacfb10d84ddc84071398e1d3516f098ef3d525,ok,1,0.9536423841059603,0.9536423841059603,1.0,1.0,1.0,7.0,1.0,1.0,
Claude,API,split_seq,SPLiT-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/split_seq.json,707f7f693eb296ab0c74cdba88a6fbb6fac332ebf28a27d784954b29b3fa3484,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,sci_rna_seq,sci-RNA-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/sci_rna_seq.json,cae8ecfb88ab3260c802d9148d1d0e1595b43b18051dfeb74fc828ca652dc15d,ok,1,0.9,0.9,1.0,1.0,1.0,19.0,1.0,1.0,
Claude,API,sci_atac_seq,sci-ATAC-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/sci_atac_seq.json,cc8cb6fae182ee5be0a7f58ee8cab07702730eabd6b9a0222def83255433524b,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,microwell_seq,Microwell-seq,/Users/seqmachines/playground/libstruct-bench/analysis/library_structure/groundtruth/microwell_seq.json,1f8a847aa5c95f54e8630da6b7c0aded74d0ee03f82487fe42363a24afd53cd9,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
