system_id,system_label,model,harness,system_group,protocol_id,protocol_label,trial_review_status,error_id,task,category,entity_type,substantive,benchmark_validity,attribution,adjudication_status,process_cause,root_error_id,is_consolidated_root_error
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0001,T2,unsupported_completion,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0002,T2,unsupported_completion,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0003,T2,unsupported_completion,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0004,T2,molecular_state_or_assembly_error,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0005,T2,workflow_or_topology_error,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0006,T2,missing_recoverable_information,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0007,T2,workflow_or_topology_error,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0008,T2,strand_or_orientation_error,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0009,T2,molecular_state_or_assembly_error,oligo_family,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0010,T3,unsupported_completion,state,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0011,T3,unsupported_completion,transition,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0012,T3,molecular_state_or_assembly_error,state,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0013,T3,molecular_state_or_assembly_error,state,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0014,T3,molecular_state_or_assembly_error,state,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0015,T3,molecular_state_or_assembly_error,state,True,unresolved,unresolved,pending,unresolved,,0
gpt_pi,GPT + Pi,GPT,Pi,shared,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,pending,err_0016,T3,molecular_state_or_assembly_error,state,True,unresolved,unresolved,pending,unresolved,,0
