"order_type","position","id","label","group","status"
"protocol",1,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",,"plotted"
"protocol",2,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",,"plotted"
"protocol",3,"dr_seq","DR-seq",,"plotted"
"protocol",4,"indrop_v1","inDrop v1",,"plotted"
"protocol",5,"petri_seq","PETRI-seq",,"plotted"
"protocol",6,"pip_seq_v4","PIP-seq v4",,"plotted"
"protocol",7,"sci_atac_seq","sci-ATAC-seq",,"plotted"
"protocol",8,"scrrbs","scRRBS",,"plotted"
"protocol",9,"share_seq","SHARE-seq",,"plotted"
"protocol",10,"smart_seq","SMART-seq",,"plotted"
"system",1,"claude_mini_swe","Claude + mini-SWE","shared","plotted"
"system",2,"gpt_pi","GPT + Pi","shared","plotted"
"system",3,"gemini_pi","Gemini + Pi","shared","plotted"
"system",4,"gemini_mini_swe","Gemini + mini-SWE","shared","plotted"
"system",5,"claude_pi","Claude + Pi","shared","plotted"
"system",6,"gemini_antigravity","Gemini + Antigravity CLI","native","plotted"
"system",7,"gpt_mini_swe","GPT + mini-SWE","shared","plotted"
"system",8,"gpt_codex","GPT + Codex","native","plotted"
"system",9,"claude_code","Claude + Claude Code","native","plotted"
"system",10,"kimi_code","Kimi + Kimi Code","native","plotted"
"system_panel_b",1,"claude_mini_swe","Claude + mini-SWE","shared","plotted"
"system_panel_b",2,"claude_code","Claude + Claude Code","native","plotted"
"system_panel_b",3,"gpt_pi","GPT + Pi","shared","plotted"
"system_panel_b",4,"gemini_pi","Gemini + Pi","shared","plotted"
"system_panel_b",5,"gemini_mini_swe","Gemini + mini-SWE","shared","plotted"
"system_panel_b",6,"claude_pi","Claude + Pi","shared","plotted"
"system_panel_b",7,"gemini_antigravity","Gemini + Antigravity CLI","native","plotted"
"system_panel_b",8,"gpt_mini_swe","GPT + mini-SWE","shared","plotted"
"system_panel_b",9,"gpt_codex","GPT + Codex","native","plotted"
"system_panel_b",,"kimi_code","Kimi + Kimi Code","native","excluded by figure design"
"system",,"kimi_pi","Kimi + Pi","shared","excluded: no preserved run"
"system",,"kimi_mini_swe","Kimi + mini-SWE","shared","excluded: no preserved run"
"system_panel_c",1,"gpt_mini_swe","GPT + mini-SWE","shared","plotted"
"system_panel_c",2,"claude_pi","Claude + Pi","shared","plotted"
"system_panel_c",3,"kimi_code","Kimi + Kimi Code","native","plotted"
"system_panel_c",4,"claude_code","Claude + Claude Code","native","plotted"
"system_panel_c",5,"gemini_pi","Gemini + Pi","shared","plotted"
"system_panel_c",6,"gpt_codex","GPT + Codex","native","plotted"
"system_panel_c",7,"claude_mini_swe","Claude + mini-SWE","shared","plotted"
"system_panel_c",8,"gemini_mini_swe","Gemini + mini-SWE","shared","plotted"
"system_panel_c",9,"gpt_pi","GPT + Pi","shared","plotted"
"system_panel_c",10,"gemini_antigravity","Gemini + Antigravity CLI","native","plotted"
