"system_id","system_label","model","harness","model_annotation","harness_annotation","system_group","clustered_system_order","protocol_id","protocol_label","protocol_order","t3_molecular_transition_f1"
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.480769230769231
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"dr_seq","DR-seq",3,0.596212121212121
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"indrop_v1","inDrop v1",4,0.890976331360947
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"petri_seq","PETRI-seq",5,0.951418123086098
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"pip_seq_v4","PIP-seq v4",6,0.589780853517878
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"sci_atac_seq","sci-ATAC-seq",7,0.502777777777778
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"scrrbs","scRRBS",8,0.863131313131313
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"share_seq","SHARE-seq",9,0.750809057923082
"claude_mini_swe","Claude + mini-SWE","Claude","mini-SWE","Claude","mini-SWE","shared",1,"smart_seq","SMART-seq",10,0.722777777777778
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.792307692307692
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.716071428571429
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"dr_seq","DR-seq",3,0.567896825396825
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"indrop_v1","inDrop v1",4,0.497649572649573
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"petri_seq","PETRI-seq",5,0.842471066154761
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"pip_seq_v4","PIP-seq v4",6,0.71957153231663
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"sci_atac_seq","sci-ATAC-seq",7,0.594444444444444
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"scrrbs","scRRBS",8,0.863131313131313
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"share_seq","SHARE-seq",9,0.762194080248631
"claude_code","Claude + Claude Code","Claude","Native","Claude","Claude Code","native",2,"smart_seq","SMART-seq",10,0.747368421052632
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.655203619909502
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.54551282051282
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"dr_seq","DR-seq",3,0.582142857142857
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"indrop_v1","inDrop v1",4,0.708846153846154
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"petri_seq","PETRI-seq",5,0.873822552412778
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"pip_seq_v4","PIP-seq v4",6,0.528437281626887
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"sci_atac_seq","sci-ATAC-seq",7,0.550676328502415
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"scrrbs","scRRBS",8,0.949444444444444
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"share_seq","SHARE-seq",9,0.738891355767417
"gpt_pi","GPT + Pi","GPT","Pi","GPT","Pi","shared",3,"smart_seq","SMART-seq",10,0.571442495126706
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.6375
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.392307692307692
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"dr_seq","DR-seq",3,0.486363636363636
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"indrop_v1","inDrop v1",4,0.890976331360947
