ai,method,protocol,protocol_display,status,parse_valid,sequence_similarity,matched_sequence_similarity,library_f1,library_precision,library_recall,edit_distance,predicted_library_count,ground_truth_library_count,fail_reason
Claude,API,10x_chromium_single_cell_atac_v2,10x Chromium Single Cell ATAC v2,ok,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
Claude,API,10x_chromium_3_gene_expression_v4,10x Chromium 3' Gene Expression v4,ok,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
Claude,API,10x_chromium_3_feature_barcoding,10x Chromium 3' Feature Barcoding,ok,1,0.9551886792452831,0.9551886792452831,1.0,1.0,1.0,19.0,2.0,2.0,
Claude,API,drop_seq,Drop-seq,ok,1,0.8967391304347826,0.8967391304347826,0.6666666666666666,0.5,1.0,19.0,2.0,1.0,
Claude,API,seq_well_s3,Seq-Well S3,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 502: error code: 502
"
Claude,API,indrop_v1,inDrop v1,failed,,,,,,,,,,"api_error:OpenRouter response did not include text content (finish_reason='length', comple"
Claude,API,s3_atac,s3-ATAC,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,cel_seq,CEL-seq,ok,1,0.9536423841059603,0.9536423841059603,1.0,1.0,1.0,7.0,1.0,1.0,
Claude,API,split_seq,SPLiT-seq,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,sci_rna_seq,sci-RNA-seq,ok,1,0.9,0.9,1.0,1.0,1.0,19.0,1.0,1.0,
Claude,API,sci_atac_seq,sci-ATAC-seq,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,microwell_seq,Microwell-seq,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,scrrbs,scRRBS,ok,1,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,11.0,1.0,1.0,
Claude,API,pip_seq_v4,PIP-seq v4,ok,1,0.8416289592760181,0.8416289592760181,1.0,1.0,1.0,35.0,1.0,1.0,
Claude,API,scdamid,scDamID,ok,1,0.9821428571428571,0.9821428571428571,1.0,1.0,1.0,3.0,1.0,1.0,
Claude,API,ddseq_single_cell_3_rna_seq_kit,ddSEQ Single-Cell 3' RNA-Seq Kit,ok,1,0.1950551156652694,0.1950551156652694,1.0,1.0,1.0,410.0,2.0,2.0,
Claude,API,smart_seq,SMART-seq,ok,1,0.3529411764705882,0.3529411764705882,0.6666666666666666,0.5,1.0,88.0,2.0,1.0,
Claude,API,share_seq,SHARE-seq,failed,,,,,,,,,,"api_error:OpenRouter request failed with HTTP 400: {""error"":{""message"":""Provider returned "
Claude,API,dr_seq,DR-seq,ok,1,0.47210755647288155,0.7081613347093223,0.8,1.0,0.6666666666666666,240.0,2.0,3.0,
Claude,API,petri_seq,PETRI-seq,failed,,,,,,,,,,api_error:OpenRouter returned error 400: Provider returned error
GPT,API,10x_chromium_single_cell_atac_v2,10x Chromium Single Cell ATAC v2,ok,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
